"content","type"
"http://focu.io/data#COMP_474_6741_lecture2_readings02_2","http://focu.io/schema#Reading"
"http://focu.io/data#COMP_474_6741_lecture2_readings02_1","http://focu.io/schema#Reading"
"http://focu.io/data#COMP_474_6741_lecture2_slides02","http://focu.io/schema#Slide"
"http://focu.io/data#COMP_474_6741_lecture2_worksheet01","http://focu.io/schema#Worksheet"
