"resource","desc"
"http://focu.io/data#COMP_474_6741_lecture1_readings01_1","Introduction to Artificial Intelligence, https://plato.stanford.edu/entries/artificial-intelligence/"
"http://focu.io/data#COMP_474_6741_lecture1_readings01_2","Eliza,https://en.wikipedia.org/wiki/ELIZA"
"http://focu.io/data#COMP_474_6741_lecture1_readings01_3","IBM Watson, https://en.wikipedia.org/wiki/Watson_(computer)"
"http://focu.io/data#COMP_474_6741_lecture7_readings07_1","Natural Language Processing in Action,Hobson Lane,Cole Howard,Hannes Max Hapke,Chapter 12"
"http://focu.io/data#COMP_474_6741_lecture8_readings08_1","Natural Language Processing in Action,Hobson Lane,Cole Howard,Hannes Max Hapke,Chapter 11"
