"subject","number","name"
"FTRA","614","Traduction littéraire avancée

Co-listé : FTRA 544 ou 545"
"FTRA","615","Advanced literary translation Co-listé : FTRA 544 ou 545"
"FTRA","631","Initiation à la traduction générale Co-listé : FTRA 531"
"FTRA","632","Initiation à la traduction générale Co-listé : FTRA 532"
"FTRA","633","Aspects théoriques et pratiques de la terminologie Co-listé : FTRA 533"
"FTRA","634","Traduction littéraire de l’anglais au français Co-listé : FTRA 504"
"FTRA","635","Traduction littéraire du français à l’anglais Co-listé : FTRA 501"
"FTRA","636","Informatique et traduction Co-listé : FTRA 536"
"FTRA","638","Initiation au sous-titrage

Co-listé : FTRA 538"
"FTRA","652","Traduction assistée par ordinateur (TAO) et post édition Co-listé : FTRA 552"
"FTRA","655","Gestion de projets Co-listé : FTRA 555"
"FTRA","658","Pratique de la localisation Co-listé : FTRA 558"
"FTRA","668","Web, technologies, traduction : théories et critiques"
"FTRA","680","Tutorat en littérature"
"FTRA","681","Tutorial in literature"
"FTRA","682","Tutorat en traduction"
"FTRA","683","Tutorial in translation"
"FTRA","684","Tutorat en linguistique"
"FTRA","685","Tutorial in linguistics"
"FTRA","686","Projet de mémoire"
"FTRA","698","Étude d’un sujet particulier / Special Topics"
"GEOG","210","Geography of Global Change"
"GEOG","260","Mapping the Environment"
"GEOG","264","Programming for Environmental Sciences"
"GEOG","301","The Sustainable University Campus"
"GEOG","323","Urban Agriculture"
"GEOG","361","Research Design and Qualitative Methods"
"GEOG","362","Statistical Methods"
"GEOG","363","Geographic Information Systems"
"GEOG","371","Landscape Ecology"
"GEOG","374","Plant Ecology"
"GEOG","377","Landform Evolution"
"GEOG","463","Advanced Geographic Information Systems"
"GEOG","464","Programming for Geospatial Technologies"
"GEOG","465","Remote Sensing"
"GEOG","466","Geomedia and the Geoweb"
"GEOG","467","Environmental Modelling"
"GEOG","474","Sustainable Forest Management"
"GEOG","490","Internship in Geography"
"GEOL","210","Introduction to the Earth"
"GEOL","216","Field Methods"
"GEOL","302","Palaeobiology"
"GEOL","331","Evolution of the Earth"
"GEOL","415","Plate Tectonics and Crustal Evolution"
"GERM","200","Introductory German: Intensive"
"GERM","201","Introductory German I"
"GERM","202","Introductory German II"
"GERM","240","Intermediate German: Intensive Course "
"GIIM","637","Strategic Management"
"GIIM","655","Socially Responsible & Sustainable Investment"
"HENV","655","Environmental Modelling"
"HENV","801","Pedagogical Training"
"HENV","802","Experiential Learning"
"HEXS","801","Scientific Communication and Pedagogy in Health and Exercise Science"
"HIST","200","Introduction to History"
"HIST","281","Film in History"
"HIST","306","History and the Public"
"HIST","307","History of Montreal"
"HIST","329","Music in History"
"HIST","338","History and the Graphic Novel"
"HIST","368","African Popular Culture"
"HIST","379","History Through Visual Media and Material Culture"
"HIST","380","History and Digital Media"
"HIST","381","The Politics of the Past"
"HIST","387","Selected Topics in Public History"
"HIST","388","Telling Stories: Oral History, Memoryscapes, and Digital Storytelling"
"HIST","390","Urban History Laboratory"
"HIST","397","History and Sound"
"HIST","403","Methodology and History"
"HIST","481","Advanced Topics in Public History"
"HIST","485","Public History Workshop"
"HIST","486","Public History Internship"
"HIST","493","Honours Essay Tutorial"
"HIST","498","Critical Museology (also listed as HIST 670)"
"HIST","498","Edible Environments: In and Beyond Montreal (also listed as HIST 670)"
"HIST","685","Master’s Thesis"
"HIST","889","Doctoral Seminar"
"HIST","890","Thesis Research"
"IADI","301","Undergraduate Aerospace Industry Project I"
"IADI","401","Undergraduate Aerospace Industry Project II"
"IMCA","201","Introduction to Intermedia Arts"
"IMCA","210","Introduction to Video Production"
"IMCA","220","Introduction to Digital Media and Electronic Arts"
"IMCA","221","Programming for Artists"
"IMCA","222","Electronics for Artists"
"IMCA","230","Performance Art"
"IMCA","310","Intermediate Video Production"
"IMCA","321","Electronic Arts Workshop"
"IMCA","322","Robotics for Artists"
"IMCA","331","Intermedia and Interventionist Performance Practices"
"IMCA","332","Intermedia, Performance Practices and Performative Video"
"IMCA","398","Special Topics in Intermedia"
"IMCA","399","Special Topics in Intermedia"
"IMCA","400","Advanced Practices in Video, Performance and Electronic Arts "
"IMCA","470","Independent Study in Intermedia"
"IMCA","471","Independent Study in Intermedia I"
"IMCA","472","Independent Study in Intermedia II "
"IMCA","480","Professional Internship in Intermedia"
"IMCA","481","Professional Internship in Intermedia I"
"IMCA","482","Professional Internship in Intermedia II"
"IMCA","498","Special Topics in Intermedia "
"IMCA","499","Special Topics in Intermedia"
"INDU","311","Simulation of Industrial Systems"
"INDU","323","Operations Research I"
"INDU","324","Operations Research II"
"INDU","410","Safety Engineering"
"INDU","411","Computer Integrated Manufacturing"
"INDU","412","Human Factors Engineering"
"INDU","421","Facilities Design and Material Handling Systems"
"INDU","423","Inventory Control"
"INDU","480","Cases in Industrial Engineering"
"INDU","490","Capstone Industrial Engineering Design Project"
"INDU","6111","Theory of Operations Research"
"INDU","6121","Advanced Operations Research"
"INDU","6131","Graph Theory with System Applications"
"INDU","6141","Logistics Network Models"
"INDU","6151","Decision Models in Service Sector"
"INDU","6211","Production Systems and Inventory Control"
"INDU","6221","Lean Enterprise"
"INDU","6231","Scheduling Theory"
"INDU","6241","Lean Manufacturing"
"INDU","6311","Discrete System Simulation"
"INDU","6321","Introduction to Six Sigma"
"INDU","6331","Advanced Quality Control"
"INDU","6341","Advanced Concepts in Quality Improvement"
"INDU","6351","System Reliability"
"INDU","6361","Discrete Optimization"
"INDU","6411","Human Factors Engineering"
"INDU","6421","Occupational Safety Engineering"
"INSE","6100","Advanced Java Platforms"
"INSE","6110","Foundations of Cryptography"
"INSE","6120","Crypto-Protocol and Network Security"
"INSE","6130","Operating Systems Security"
"INSE","6140","Malware Defenses and Application Security"
"INSE","6150","Security Evaluation Methodologies"
"INSE","6160","Database Security and Privacy"
"INSE","6170","Network Security Architecture and Management"
"INSE","6180","Security and Privacy Implications of Data Mining"
"INSE","6190","Wireless Network Security"
"INSE","6210","Total Quality Methodologies in Engineering"
"INSE","6220","Advanced Statistical Approaches to Quality"
"INSE","6230","Total Quality Project Management"
"INSE","6240","Executive Communication"
"INSE","6250","Quality Methodologies for Software"
"INSE","6260","Software Quality Assurance"
"INSE","6270","Quality-Based System Engineering"
"INSE","6280","Quality Assurance for System Engineering"
"INSE","6290","Quality in Supply Chain Design"
"INSE","6300","Quality Assurance in Supply Chain Management"
"INSE","6310","Systems Engineering Maintenance Management"
"INSE","6311","Sustainable Infrastructure Planning and Management Systems"
"INSE","6320","Risk Analysis for Information and Systems Engineering"
"INSE","6400","Principles of Systems Engineering"
"INSE","6411","Product Design Theory and Methodology"
"INSE","6421","Systems Integration and Testing"
"INSE","6431","Ad Hoc Wireless Networks: Architectures and Protocols"
"INSE","6441","Applied Game Theory and Mechanism Design"
"INSE","6510","Video Game Technology and Development"
"INSE","6530","3D Graphics and Computer Animation for Game Design"
"INSE","6610","Cybercrime Investigations"
"INSE","6630","Recent Developments in Information Systems Security"
"INSE","6640","Smart Grids and Control System Security"
"INSE","6650","Trusted Computing"
"INSE","6660","Secure programsming"
"INSE","6670","Embedded Systems Security"
"INSE","6680","Systems Physical Security"
"INSE","7100","Design and Analysis of Security Protocols"
"INSE","7110","Value Added Service Engineering in Next Generation Networks"
"INSE","7120","Advanced Network Management"
"INSE","8901","Master of Applied Science Research and Thesis"
"IRST","299","Selected Topics: Introduction to Spoken Irish"
"IRST","300","Research Methods in Irish Studies"
"IRST","344","Classics of Irish Theatre"
"IRST","346","Irish Performance Studies"
"IRST","347","Contemporary Irish Theatre"
"IRST","390","Field Studies in Ireland"
"ITAL","200","Introductory Italian: Intensive"
"ITAL","201","Introductory Italian I"
"ITAL","202","Introductory Italian II"
"ITAL","240","Intermediate Italian: Intensive Course "
"JAZZ","481","Supervised Internship I"
"JAZZ","482","Supervised Internship II"
"JOUR","206","Introduction to Reporting"
"JOUR","207","Introduction to Multimedia"
"JOUR","208","Intermediate Reporting"
"JOUR","209","Intermediate Multimedia"
"JOUR","303","Feature Writing"
"JOUR","309","Editing and Page Design"
"JOUR","321","Visual Journalism"
"JOUR","325","Social Media and Mobile Reporting"
"JOUR","330","Radio Newsroom"
"JOUR","402","Specialist Reporting"
"JOUR","404","Magazine Writing"
"JOUR","421","Advanced Video Journalism"
"JOUR","432","Documentary Video and Radio"
"JOUR","443","The Digital Magazine"
"JOUR","445","Advanced Photojournalism"
"JOUR","450","Journalism Practicum"
"JOUR","502","Introduction to Reporting"
"JOUR","503","Introduction to Visual Journalism"
"JOUR","504","Intermediate Reporting"
"JOUR","505","Advanced Reporting"
"JOUR","507","Basics of Digital Imaging"
"JOUR","521","Visual Story-Telling"
"JOUR","523","News and Feature Photography"
"JOUR","527","Elements of Lighting for Visual Journalism"
"JOUR","528","The Digital Magazine"
"JOUR","530","Advanced Radio News"
"JOUR","531","Visual Journalism Photo Editing"
"JOUR","532","Documentary Video and Radio"
"JOUR","535","Documentary and Photographic Series"
"JOUR","537","Visual Journalism Portfolio"
"JOUR","605","Digital Innovation in Journalism"
"JOUR","630","Mediating Diversity through Audio Story-telling"
"JPER","223","Big Band I"
"JPER","224","Eclectic Ensemble I"
"JPER","225","Jazz Choir"
"JPER","323","Big Band II"
"JPER","324","Eclectic Ensemble II"
"JPER","325","Jazz Choir II"
"JPER","341","Jazz Vocal Repertoire I"
"JPER","423","Big Band III"
"JPER","424","Eclectic Ensemble III"
"JPER","425","Jazz Choir III"
"JPER","441","Jazz Vocal Repertoire II"
"JPER","451","JAZZ PRIVATE STUDY V"
"KCEP","349","Assessment, Interpretation, and Rehabilitation in Neuromuscular Physiology"
"KCEP","383","Kinesiology and Clinical Exercise Physiology Internship I"
"KCEP","449","Physical Fitness Assessment, Exercise Prescription and Rehabilitation in Special Populations"
"KCEP","483","Kinesiology and Clinical Exercise Physiology Internship II"
"LBCL","295","History of Art"
"LIBS","495","Field Practice"
"LING","372","Descriptive and Instrumental Phonetics"
"LING","421","Non-Indo-European Structures"
"LING","472","Advanced Phonetics  "
"LING","490","Honours Thesis"
"LOYC","205","Introduction to Sustainability Studies (also listed as BIOL 205)"
"LOYC","240","Global Environmental Issues and Ecological Justice (also listed as POLI 208)"
"LOYC","298","Ecocide and Dystopias"
"LOYC","320","Biodiversity on Earth"
"LOYC","420","Integrative Project"
"MACF","401","Mathematical and Computational Finance I "
"MACF","402","Mathematical and Computational Finance I "
"MANA","300","Entrepreneurship: Launching Your Business"
"MANA","343","Negotiation and Conflict Resolution"
"MANA","362","Human Resource Management "
"MANA","366","Industrial Relations and Collective Bargaining"
"MANA","420","Management Research for Decision Making"
"MANA","443","Compensation and Benefits"
"MANA","444","Training and Development"
"MANA","446","Workplace Planning and Staffing"
"MANA","447","Leadership and Motivation"
"MANA","481","Introduction to Management Consulting"
"MANA","668","Sustainable Business Strategy"
"MANA","684","Entrepreneurship through Acquisition"
"MARA","200","Introduction to Modern Standard Arabic I      "
"MARA","203","Modern Standard Arabic for Heritage Speakers I "
"MARA","206","Introduction to Modern Standard Arabic II"
"MARA","207","Modern Standard Arabic for Heritage Speakers II "
"MARA","240","Intermediate Modern Standard Arabic I      "
"MARA","250","Intermediate Modern Standard Arabic I      "
"MARK","301","Marketing Management II"
"MARK","305","Consumer Behaviour"
"MARK","444","Sports Marketing"
"MARK","451","Marketing of Services"
"MARK","452","E-Marketing"
"MARK","453","Marketing Communications"
"MARK","454","Personal Selling"
"MARK","457","Marketing Channels"
"MARK","458","The Marketing of Food"
"MARK","462","Environment of World Business"
"MARK","463","Retailing"
"MARK","465","International Marketing Management"
"MARK","485","Business to Business Marketing"
"MARK","486","Product Innovation and Strategy"
"MARK","491","Brand Management (Seminar)"
"MARK","492","Cross-Cultural Communications"
"MARK","493","Current Issues in Marketing"
"MARK","495","Strategic Marketing Planning"
"MARK","671","Consumer Behaviour"
"MAST","232","Mathematics with Computer Algebra"
"MAST","324","Introduction to Optimization"
"MAST","333","Applied Statistics"
"MAST","397","Topics in Mathematics and Statistics (Topic in 2021 - Sports Analytics)"
"MAST","677","Time Series"
"MATH","387","Mathematics Lab III"
"MBA","642","Financial Reporting for Responsible Decision Making"
"MBA","644","Marketing Management"
"MBA","645","Economics for Organizational Decision Making"
"MBA","647","Managing People in Organizations"
"MBA","649","Strategic Managerial Accounting and Control"
"MBA","650","Crafting and Implementing Successful Strategies"
"MBA","654","MBA Research Projects"
"MBA","657","International Case Competition - Executive Assistant"
"MBA","658","Van Berkon Case Competition - Executive Assistant"
"MBA","659","Strategies in Action (Case Competition)"
"MBA","660","Small Business Consulting Bureau"
"MBA","662","MBA Surgical Innovation II"
"MBA","663","District 3 Start Up Consulting"
"MBA","695","Seminar in Special Topics"
"MCHI","200","Introductory Modern Chinese "
"MCHI","206","Introduction to Modern Chinese II "
"MCHI","240","Intermediate Modern Chinese I "
"MCHI","250","Intermediate Modern Chinese II"
"MECH","211","Mechanical Engineering Drawing"
"MECH","215","Programming for Mechanical and Industrial Engineers"
"MECH","311","Manufacturing Processes"
"MECH","321","Properties and Failure of Materials"
"MECH","343","Theory of Machines"
"MECH","351","Thermodynamics II"
"MECH","352","Heat Transfer I"
"MECH","361","Fluid Mechanics II"
"MECH","368","Electronics for Mechanical Engineers"
"MECH","370","Modelling and Analysis of Dynamic Systems"
"MECH","371","Analysis and Design of Control Systems"
"MECH","375","Mechanical Vibrations"
"MECH","390","Mechanical Engineering Design Project"
"MECH","411","Instrumentation and Measurements"
"MECH","412","Computer-Aided Mechanical Design"
"MECH","414","Computer Numerically Controlled Machining"
"MECH","421","Mechanical Shaping of Metals and Plastics"
"MECH","423","Casting, Welding, Heat Treating, and Non-Destructive Testing"
"MECH","424","MEMS - Design and Fabrication"
"MECH","425","Manufacturing of Composites"
"MECH","447","Fundamentals of Vehicle System Design"
"MECH","452","Heat Transfer II"
"MECH","460","Finite Element Analysis"
"MECH","461","Gas Dynamics"
"MECH","463","Fluid Power Control"
"MECH","471","Microcontrollers for Mechatronics"
"MECH","472","Mechatronics and Automation"
"MECH","473","Control System Design"
"MECH","474","Mechatronics"
"MECH","490A","Capstone Mechanical Engineering Design Project (also listed as MECH 490B, MECH490C)"
"MECH","6011","Analysis and Design of Pneumatic Systems"
"MECH","6021","Design of Industrial Control Systems"
"MECH","6041","Virtual Systems Engineering"
"MECH","6051","Process Dynamics and Control"
"MECH","6061","Analysis and Design of Hydraulic Control Systems"
"MECH","6081","Fuel Control Systems for Combustion Engines"
"MECH","6091","Flight Control Systems"
"MECH","6101","Kinetic Theory of Gases"
"MECH","6111","Gas Dynamics"
"MECH","6121","Aerodynamics"
"MECH","6131","Conduction and Radiation Heat Transfer"
"MECH","6141","Heat Exchanger Design"
"MECH","6161","Gas Turbine Design"
"MECH","6171","Turbomachinery and Propulsion"
"MECH","6181","Heating, Air Conditioning and Ventilation"
"MECH","6191","Combustion"
"MECH","6231","Helicopter Flight Dynamics"
"MECH","6241","Operational Performance of Aircraft"
"MECH","6251","Space Flight Mechanics and Propulsion Systems"
"MECH","6301","Vibration Problems in Rotating Machinery"
"MECH","6311","Noise and Vibration Control"
"MECH","6321","Optimum Design of Mechanical Systems"
"MECH","6341","Engineering Analysis of Smart Materials and Structures"
"MECH","6351","Modal Analysis of Mechanical Systems"
"MECH","6361","Mechanics of Biological Tissues"
"MECH","6421","Metal Machining and Surface Technology"
"MECH","6431","Introduction to Tribology (Wear, Friction and Lubrication)"
"MECH","6441","Stress Analysis in Mechanical Design"
"MECH","6451","Computer-Aided Mechanical Design"
"MECH","6481","Aeroelasticity"
"MECH","6491","Engineering Metrology and Measurement Systems"
"MECH","6501","Advanced Materials"
"MECH","6511","Mechanical Forming of Metals"
"MECH","6521","Manufacturing of Composites"
"MECH","6531","Casting"
"MECH","6541","Joining Processes and Nondestructive Testing"
"MECH","6551","Fracture"
"MECH","6561","High Strength Materials"
"MECH","6571","Corrosion and Oxidation of Metals"
"MECH","6581","Mechanical Behaviour of Polymer Composite Materials"
"MECH","6601","Testing and Evaluation of Polymer Composite Materials and Structures"
"MECH","6611","Numerically Controlled Machines"
"MECH","6621","Microprocessors and Applications"
"MECH","6631","Industrial Automation"
"MECH","6641","Engineering Fracture Mechanics and Fatigue"
"MECH","6651","Structural Composite"
"MECH","6661","Thermodynamics and Phase Equilibria of Materials"
"MECH","6671","Finite Element Method in Machine Design"
"MECH","6681","Dynamics and Control of Nonholonomic Systems"
"MECH","6691","Optical Microsystems"
"MECH","6741","Mechatronics"
"MECH","6751","Vehicle Dynamics"
"MECH","6761","Vehicular Internal Combustion Engines"
"MECH","6771","Driverless Ground Vehicles"
"MECH","6781","Guided Vehicle Systems"
"MECH","7011","Dynamics of Hydraulic Control Systems"
"MECH","7101","Convection Heat Transfer"
"MECH","7501","Design Using Composite Materials"
"MECH","7511","Vehicle Vibration and Control"
"MECH","7711","Handling and Stability of Road Vehicles"
"MHIS","203","MUSIC HISTORY TO 1800"
"MPER","231","Choir I"
"MPER","321","Chamber Ensemble I"
"MPER","322","Chamber Ensemble II"
"MPER","332","Choir II"
"MPER","421","Chamber Ensemble III"
"MPER","422","Chamber Ensemble IV"
"MPER","451","PRIVATE STUDY V"
"MSCA","602","Applied Linear Statistical Models"
"MSCA","611","Research Methodology"
"MSCA","625","Seminar in Options and Futures"
"MSCA","632","Seminar in Special Topics in Finance"
"MSCA","654","Seminar in Consulting"
"MUSI","201","INTRODUCTION TO MUSIC FUNDAMEN"
"MUSI","481","Supervised Internship I"
"MUSI","482","Supervised Internship II"
"PERC","209","The Engaged Theatre Artist"
"PERC","210","Performance Creation Studio 1: Theory and Method"
"PERC","211","Theatre in the City"
"PERC","212","Introduction to Dramaturgy"
"PERC","298","Special Topics in Performance Creation"
"PERC","311","Directing 1"
"PERC","318","Playwriting 1"
"PERC","321","Introduction to Performance Studies"
"PERC","322","Gender and Sexuality in Performance"
"PERC","324","Queer Theatre and Performance"
"PERC","351","Community Arts: The Art of Engagement"
"PERC","356","Puppetry and Performing Object Workshop"
"PERC","384","Performance Creation Studio 11: Collaborative Practice"
"PERC","386","Site-specific Performance Practice"
"PERC","398","Special Topics in Performance Creation"
"PERC","399","Special Topics in Performance Creation"
"PERC","405","Independent Study I"
"PERC","408","Supervised Internship I"
"PERC","409","Supervised Internship II"
"PERC","415","Independent Study II"
"PERC","421","Socially Engaged and Cctivist  Performance"
"PERC","422","Indigenous Story Telling"
"PERC","462","Playwriting II"
"PERC","464","Oral History performance"
"PERC","471","Directing II"
"PERC","488","Short Works Festival"
"PERC","490","Performance Creation Mainstage"
"PERC","496","Performance Creation Field School"
"PERC","498","Special Topics in Performance Creation"
"PERC","499","Special Topics in Performance Creation"
"PERFORM","Centre","PERFORM Centre observation"
"PHIL","214","Deductive Logic"
"PHIL","220","Introduction to the Philosophy of Science"
"PHIL","232","Introduction to Ethics"
"PHIL","260","Presocratics and Plato"
"PHIL","261","Aristotle and Hellenistic Philosophy"
"PHIL","263","Introduction to Epistemology"
"PHIL","265","Introduction to Metaphysics"
"PHIL","495","Honours Essay"
"PHIL","496","Tutorial in Philosophy"
"PHIL","497","Tutorial in Philosophy"
"PHOT","201","INTRO TO COLOUR PHOTOGRAPHY"
"PHOT","201","Introduction to Colour Photography"
"PHOT","210","Foundations in Photographic Vision Theory and Practice I"
"PHOT","211","Black‑and‑White Photography I"
"PHOT","221","Colour Photography I"
"PHOT","300","Photographic Vision: Theory and Practice II"
"PHOT","301","Black‑and‑White II Fine Art Printing"
"PHOT","311","Large Format Photography I"
"PHOT","312","Large Format Photography II"
"PHOT","322","Colour Photography II"
"PHOT","331","Digital Photography I"
"PHOT","332","Digital Photography II"
"PHOT","398","Special Topics in Photography"
"PHOT","399","Special Topics in Photography"
"PHOT","400","Advanced Workshop in Photography"
"PHOT","470","Professional Internship"
"PHOT","471","Professional Internship I"
"PHOT","472","Professional Internship II"
"PHOT","480","Independent Study"
"PHOT","481","Independent Study I "
"PHOT","482","Independent Study II"
"PHOT","498","Special Topics in Photography"
"PHOT","499","Special Topics in Photography"
"PHYS","224","Introductory Experimental Mechanics"
"PHYS","225","Introductory Experimental Electricity"
"PHYS","226","Introductory Experimental Waves and Modern Physics"
"PHYS","230","Experimental Physics I"
"PHYS","236","Numerical Methods in Physics with Python"
"PHYS","289","Honours Research Experience I"
"PHYS","295","Experimental Electronics I"
"PHYS","330","Experimental Physics II"
"PHYS","389","Honours Research Experience II"
"PHYS","390","Electronics"
"PHYS","440","Computational Methods in Physics with Python"
"PHYS","496","Honours Research Project (6 cr)"
"PHYS","497","Specialization Research Project (3 cr)"
"PHYS","637","Condensed Matter Physics II"
"PHYS","660","Chemical Aspects of Biophysics"
"PHYS","663","Quantitative Human Systems Physiology"
"PHYS","665","Principles of Medical Imaging"
"PHYS","679*","Computational Methods in Physics with Python"
"PHYS","760","MSc Seminar on Selected Topics"
"PHYS","862","Doctoral Seminar on Selected Topics II"
"POLI","205","Introduction to International Relations"
"POLI","214","Human Rights: An Overview"
"POLI","300","Not‑for‑Profit Organizations and the Law"
"POLI","315","International Organizations"
"POLI","328","Public Policy and the Politics of Equality"
"POLI","392","Approaches to Social Science Inquiry"
"POLI","393"," Quantitative Research Methods "
"POLI","397","Internship"
"POLI","419","Strategic Studies"
"POLI","480","Workshops on Social Science Research Methods"
"POLI","487","Advanced Seminar in Comparative Politics"
"POLI","495","Honours Thesis"
"POLI","644","Research Methods"
"POLI","683","Mechanics of Briefing Notes"
"POLI","683","Minding the Gap"
"POLI","683","Professional Development"
"POLI","687/812","IPSA-Concordia Summer School in Applied Diplomacy"
"POLI","693","Internship"
"PRIN","211","Intaglio I "
"PRIN","221","Lithography I"
"PRIN","231","Screen Printing I"
"PRIN","241","Processes in Digital Print Media I"
"PRIN","271","Contemporary Print Processes I "
"PRIN","291","Contemporary Relief and Woodcut I"
"PRIN","311","Intaglio II"
"PRIN","321","Lithography II"
"PRIN","331","Screen Printing II"
"PRIN","341","Processes in Digital Print Media II"
"PRIN","365","The Artist’s Book as Object "
"PRIN","366","Aspects of the Artist Book"
"PRIN","371","Contemporary Print Processes II"
"PRIN","381","Aspects of Print Media"
"PRIN","391","Contemporary Relief and Woodcut II"
"PRIN","398","Special Topics in Print Media"
"PRIN","399","Special Topics in Print Media"
"PRIN","411","Intaglio III "
"PRIN","421","Lithography III "
"PRIN","431","Screen Printing III"
"PRIN","441","Advanced Processes in Digital Print Media III"
"PRIN","451","Advanced Projects in Print Media I"
"PRIN","452","Advanced Projects in Print Media II"
"PRIN","470","Independent Study in Print Media "
"PRIN","471","Independent Study in Print Media I"
"PRIN","472","Independent Study in Print Media II"
"PRIN","481","Professional Internship"
"PRIN","498","Special Topics in Print Media"
"PRIN","499","Special Topics in Print Media "
"PSYC","311","Research Methods and Designs II"
"PSYC","315","Statistical Analysis I"
"PSYC","316","Statistical Analysis II"
"PSYC","387","Directed Research in Psychology"
"PSYC","485","Specialization Project"
"PSYC","487","Advanced Directed Research in Psychology"
"PSYC","495","Honours Thesis"
"PSYC","601","Statistical Analysis and Experimental Design"
"PSYC","705","APC Practicum I"
"PSYC","706","Assessment Practicum I"
"PSYC","707","Assessment Practicum II"
"PSYC","708","APC Practicum II: General"
"PSYC","709","APC Practicum II: Adult"
"PSYC","710","APC Practicum II: Child"
"PSYC","711","Extramural Practicum I: General"
"PSYC","712","Extramural Practicum I: Adult"
"PSYC","713","Extramural Practicum I: Child"
"PSYC","823","APC Practicum III: General"
"PSYC","823","Multivariate Statistics"
"PSYC","824","APC Practicum III: Adult"
"PSYC","825","APC Practicum III: Child"
"PSYC","826","APC Practicum IV: General"
"PSYC","827","APC Practicum IV: Adult"
"PSYC","828","APC Practicum IV: Child"
"PSYC","838","Extramural Practicum II: General"
"PSYC","839","Extramural Practicum II: Adult"
"PSYC","840","Extramural Practicum II: Child"
"PSYC","841","Extramural Practicum III: General"
"PSYC","842","Extramural Practicum III: Adult"
"PSYC","843","Extramural Practicum III: Child"
"PSYC","850","Practicum in Experimental Techniques"
"PSYC","851","Teaching of Laboratory Techniques"
"PTNG","200","Painting I"
"PTNG","201","Introduction to Painting"
"PTNG","298","Special Topics in Painting"
"PTNG","299","Special Topics in Painting "
"PTNG","300","Painting II"
"PTNG","310","Painting and Popular Culture I"
"PTNG","312","Body, Representation and Information I "
"PTNG","314","Life in the Round: Painting the Figure from Observation I"
"PTNG","316","Abstract Painting I"
"PTNG","320","Studio/Seminar in Painting and Drawing"
"PTNG","398","Special Topics in Painting"
"PTNG","399","Special Topics in Painting"
"PTNG","400","Painting III"
"PTNG","410","Painting and Popular Culture II"
"PTNG","412","Body, Representation and Information II "
"PTNG","414","Life in the Round: Painting the Figure from Observation II"
"PTNG","416","Abstract Painting II"
"PTNG","418","Between the Wall and the Viewer"
"PTNG","420","Seminar/Workshop in Painting"
"PTNG","430","Women and Painting"
"PTNG","440","Collage"
"PTNG","450","Painting IV"
"PTNG","460","Materials and Methods of the Artist"
"PTNG","470","Independent Study"
"PTNG","471","Independent Study I"
"PTNG","472","Independent Study II"
"PTNG","498","Special Topics in Painting"
"PTNG","499","Special Topics in Painting"
"RELI","210","Religion in Practice"
"RELI","214","Religions of the West"
"RELI","215","Religions of Asia"
"RELI","220","Introduction to Judaism"
"RELI","223","Introduction to Christianity"
"RELI","224","Introduction to Hinduism"
"RELI","312","Justice and Social Conflict in a Globalized World"
"RELI","313","Zoroastrianism"
"RELI","318","Shiite Islam"
"RELI","378","Death and Dying"
"RELI","387","Goddesses and Religious Images of Women"
"RELI","390","Angels and Demons in Judaism"
"RELI","392","Women in Jewish History: Modern"
"RELI","396","Food and Religion"
"RELI","409","Methodology and the Study of Religion"
"RELI","6007","Religion, Politics, Heritage"
"RELI","6008","Community Engagement"
"RELI","6018","Jewish Community Engagement"
"SCEN","327","Hair and Make up Design"
"SCEN","347","Exhibition Scenography"
"SCEN","411","Urban Scenographies"
"SCEN","412","Art Direction"
"SCEN","448","Design Field School"
"SCOL","290","Directed and Independent Study I"
"SCOL","391","Directed and Independent Study II"
"SCOL","490","Directed and Independent Study III"
"SCOM","374","Supply Chain Logistics"
"SCOM","492","Supply Chain Simulation"
"SCOM","498","Supply Chain Project"
"SCPA","301","Social Debates and Issues in Public Affairs and Public Policy"
"SCPA","352","Community and Local Activism"
"SCPA","411","Internship"
"SCPA","412","Senior Research Seminar"
"SCPA","482","Field Project in Immigration, Migration and Diversity"
"SCPA","509","Financing CED Initiatives: Part II"
"SCPA","509","Le financement des initiatives de DÉC. Partie II"
"SCPA","510","CED Field Project Part 1"
"SCPA","516","Housing and Land Use from a CED Perspective: Part II"
"SCPA","516","Logement et aménagement du territoire dans une perspective de DÉC. Partie II"
"SCPA","537","Aboriginal CED: Part II"
"SCPA","537","Le DÉC en milieu autochtone. Partie II"
"SCUL","201","Introduction to Sculpture and Installation"
"SCUL","210","Sculpture and Material Practices"
"SCUL","251","Sculpture/Mechanics"
"SCUL","310","Sculpture and Spatial Practices"
"SCUL","311","Metal Casting: Bronze and Aluminum I"
"SCUL","312","Metal Casting: Bronze and Aluminum II"
"SCUL","396","Digital Sculpture"
"SCUL","397","Intermediate Digital Sculpture II"
"SCUL","398","Special Topics in Sculpture"
"SCUL","399","Special Topics in Sculpture "
"SCUL","410","Sculpture as Practice"
"SCUL","450","Independent Study"
"SCUL","451","Independent Study I"
"SCUL","451","INDEPENDENT STUDY I"
"SCUL","452","Independent Study II"
"SCUL","490","Advanced Studio Practice"
"SOCI","415","Field Research"
"SOCI","450","Social Economy & Sustainable Futures"
"SOEN","228","System Hardware"
"SOEN","341","Software Process"
"SOEN","385","Control Systems and Applications"
"SOEN","390","Software Engineering Team Design Project"
"SOEN","422","Embedded Systems and Software"
"SOEN","423","Distributed Systems"
"SOEN","487","Web Services and Applications"
"SOEN","490","Capstone Software Engineering Design Project"
