"topicName","wiki","event","resource"
"Prentice Hall","https://www.wikidata.org/wiki/Q443253","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"COMP","https://www.wikidata.org/wiki/Q15320335","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Recommender Systems","https://www.wikidata.org/wiki/Q554950","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"BabelNet","https://www.wikidata.org/wiki/Q4837690","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Linked Data","https://www.wikidata.org/wiki/Q515701","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"CSV","https://www.wikidata.org/wiki/Q935809","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"SVM","https://www.wikidata.org/wiki/Q7395090","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"OPTIONAL","https://www.wikidata.org/wiki/Q7099021","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"LOD","https://www.wikidata.org/wiki/Q1821756","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Eliza","https://www.wikidata.org/wiki/Q580318","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Exploratory Data Analysis","https://www.wikidata.org/wiki/Q1322871","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Penn Treebank","https://www.wikidata.org/wiki/Q811525","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"University of Sheffield","https://www.wikidata.org/wiki/Q823917","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"SHRUTI","https://www.wikidata.org/wiki/Q7504343","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Noisy Data","https://www.wikidata.org/wiki/Q30587856","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Capital Letters","https://www.wikidata.org/wiki/Q47460540","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_worksheet06"
"DCG","https://www.wikidata.org/wiki/Q1963535","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"Conversational","https://www.wikidata.org/wiki/Q52943","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"RDFS","https://www.wikidata.org/wiki/Q1751819","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"IR","https://www.wikidata.org/wiki/Q11388","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"Frey","https://www.wikidata.org/wiki/Q7326995","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Federated Query","https://www.wikidata.org/wiki/Q5440717","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Dewey Decimal Classification","https://www.wikidata.org/wiki/Q48460","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"MAP","https://www.wikidata.org/wiki/Q4863657","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"Instances","https://www.wikidata.org/wiki/Q3101213","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"ML","https://www.wikidata.org/wiki/Q860654","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"OPE","https://www.wikidata.org/wiki/Q3883909","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"CE","https://www.wikidata.org/wiki/Q208141","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
